month,product_id,product_name,category,quantity,revenue_usd
2026-01,sku-1001,Trail Backpack Pro,Backpacks,110,10450.0
2026-02,sku-1001,Trail Backpack Pro,Backpacks,120,11400.0
2026-03,sku-1001,Trail Backpack Pro,Backpacks,145,13775.0
2026-01,sku-1002,Alpine Shell Jacket,Outerwear,75,15750.0
2026-02,sku-1002,Alpine Shell Jacket,Outerwear,84,17640.0
2026-03,sku-1002,Alpine Shell Jacket,Outerwear,95,19950.0
2026-01,sku-1003,Ultralight Day Pack,Backpacks,80,5600.0
2026-02,sku-1003,Ultralight Day Pack,Backpacks,88,6160.0
2026-03,sku-1003,Ultralight Day Pack,Backpacks,102,7140.0
2026-01,sku-1004,Expedition Water Bottle,Accessories,170,3060.0
2026-02,sku-1004,Expedition Water Bottle,Accessories,180,3240.0
2026-03,sku-1004,Expedition Water Bottle,Accessories,210,3780.0
2026-01,sku-1005,Merino Base Layer,Apparel,90,4320.0
2026-02,sku-1005,Merino Base Layer,Apparel,100,4800.0
2026-03,sku-1005,Merino Base Layer,Apparel,126,6048.0
2026-01,sku-1006,Carbon Trekking Poles,Accessories,60,5280.0
2026-02,sku-1006,Carbon Trekking Poles,Accessories,68,5984.0
2026-03,sku-1006,Carbon Trekking Poles,Accessories,82,7216.0
